Gulf Coast Regional Medical Center, Panama City, FL, 3, 20766, Average, Higher
Morton Plant North Bay Hospital, New Port Richey, FL, 4, 20044, Average, Higher
Fawcett Memorial Hospital, Port Charlotte, FL, 3, 20028, Average, Higher
Doctors Hospital Of Sarasota, Sarasota, FL, 4, 19272, Average, Higher
Florida Hospital Heartland Medical Center, Sebring, FL, 4, 19187, Average, Higher
Florida Hospital, Orlando, FL, 3, 19155, Better, Higher
Florida Hospital Wesley Chapel, Wesley Chapel, FL, 4, 19111, Average, Higher
Florida Hospital Zephyrhills, Zephyrhills, FL, 4, 19093, Average, Higher
Florida Hospital Carrollwood, Tampa, FL, 4, 19058, Average, Average
Bethesda Hospital East, Boynton Beach, FL, 3, 18925, Average, Higher
Tallahassee Memorial Hospital, Tallahassee, FL, 3, 18816, Average, Higher
Shands Live Oak Regional Medical Center, Live Oak, FL, 3, 18805, Average, Average
Mease Dunedin Hospital, Dunedin, FL, 4, 18685, Average, Average
Tampa Community Hospital, Tampa, FL, 3, 18663, Average, Average
West Florida Hospital, Pensacola, FL, 3, 18649, Average, Higher
St Joseph's Hospital, Tampa, FL, 5, 18635, Average, Higher
Gulf Coast Medical Center Lee Mem Health System, Fort Myers, FL, 3, 18619, Average, Higher
Holy Cross Hospital, Fort Lauderdale, FL, 4, 18613, Average, Higher
Florida Hospital Wauchula, Wauchula, FL, 4, 18592, Average, Average
Orlando Health Orlando Regional Medical Center, Orlando, FL, 4, 18533, Average, Higher
Broward Health Coral Springs, Coral Springs, FL, 3, 18506, Average, Average
Florida Hospital Memorial Medical Center, Daytona Beach, FL, 4, 18448, Average, Higher
Holmes Regional Medical Center, Melbourne, FL, 3, 18445, Average, Higher
Coral Gables Hospital, Coral Gables, FL, 3, 18436, Average, Average
Florida Hospital North Pinellas, Tarpon Springs, FL, 3, 18326, Average, Average
Doctors Hospital, Coral Gables, FL, 4, 18318, Better, Average
St Vincents Medical Center - Clay County, Middleburg, FL, 5, 18283, Average, Average
Florida Hospital Waterman, Tavares, FL, 3, 18271, Average, Higher
St Vincent's Medical Center Southside, Jacksonville, FL, 3, 18252, Average, Average
Memorial Regional Hospital, Hollywood, FL, 3, 18199, Average, Average
Mayo Clinic, Jacksonville, FL, 4, 18166, Average, Average
South Lake Hospital, Clermont, FL, 4, 18126, Average, Average
Palms Of Pasadena Hospital, Saint Petersburg, FL, 3, 18126, Average, Average
South Florida Baptist Hospital, Plant City, FL, 3, 17963, Average, Average
Poinciana Medical Center, Kissimmee, FL, 3, 17950, Average, Average
Sarasota Memorial Hospital, Sarasota, FL, 5, 17936, Average, Average
St Anthonys Hospital, Saint Petersburg, FL, 3, 17880, Better, Average
Baptist Medical Center Jacksonville, Jacksonville, FL, 4, 17801, Better, Average
Shands Lake Shore Regional Medical Center, Lake City, FL, 4, 17744, Average, Average
Lee Memorial Hospital, Fort Myers, FL, 3, 17719, Average, Average
Englewood Community Hospital, Englewood, FL, 3, 17698, Average, Average
Morton Plant Hospital, Clearwater, FL, 4, 17685, Average, Average
Viera Hospital, Melbourne, FL, 5, 17655, Average, Average
Cape Coral Hospital, Cape Coral, FL, 3, 17648, Average, Average
Palm Beach Gardens Medical Center, Palm Beach Gardens, FL, 3, 17540, Average, Average
Memorial Hospital West, Pembroke Pines, FL, 3, 17518, Better, Average
Baptist Medical Center - Beaches, Jacksonville Beach, FL, 4, 17402, Better, Average
Florida Hospital Dade City, Dade City, FL, 3, 17382, Average, Average
Naples Community Hospital, Naples, FL, 4, 17328, Average, Average
Gulf Breeze Hospital, Gulf Breeze, FL, 5, 17231, Better, Average
Palm Bay Hospital, Palm Bay, FL, 4, 17225, Average, Average
Desoto Memorial Hospital, Arcadia, FL, 3, 17207, Average, Average
Lakewood Ranch Medical Center, Bradenton, FL, 3, 17199, Average, Average
Cape Canaveral Hospital, Cocoa Beach, FL, 4, 17182, Average, Average
Lake City Medical Center, Lake City, FL, 3, 17028, Average, Average
Jupiter Medical Center, Jupiter, FL, 5, 17001, Average, Average
Santa Rosa Medical Center, Milton, FL, 3, 16997, Average, Average
Bartow Regional Medical Center, Bartow, FL, 4, 16992, Average, Average
Baptist Hospital, Pensacola, FL, 4, 16917, Average, Average
Memorial Hospital Of Tampa, Tampa, FL, 4, 16812, Average, Average
North Okaloosa Medical Center, Crestview, FL, 4, 16811, Average, Average
Memorial Hospital Miramar, Miramar, FL, 4, 16654, Average, Average
West Kendall Baptist Hospital, Miami, FL, 3, 16210, Better, Lower
Lower Keys Medical Center, Key West, FL, 3, 16054, Average, Average
Baptist Medical Center - Nassau, Fernandina Beach, FL, 4, 15956, Average, Lower
Sacred Heart Hospital On The Emerald Coast, Miramar Beach, FL, 5, 15897, Average, Lower
Twin Cities Hospital, Niceville, FL, 3, 15850, Average, Lower
Jackson Hospital, Marianna, FL, 3, 15360, Average, Lower
Healthmark Regional Medical Center, Defuniak Springs, FL, 4, 15004, Average, Lower
Sacred Heart Hospital On The Gulf, Port Saint Joe, FL, 5, 14070, Average, Lower
Jay Hospital, Jay, FL, 3, 13792, Average, Lower
Ed Fraser Memorial Hospital, Macclenny, FL, 3, 13749, Average, Lower
